date,last,open,high,low,volume,change_percent
2025-10-07,16540.0,16580.0,16600.0,16525.0,,-0.06
2025-10-08,16560.0,16610.0,16624.0,16557.5,,0.12
2025-10-09,16545.0,16555.0,16567.5,16509.5,,-0.09
2025-10-10,16550.0,16577.5,16597.5,16550.0,,0.03
2025-10-13,16560.0,16580.0,16592.5,16557.5,,0.06
2025-10-14,16575.0,16560.0,16595.0,16549.5,,0.09
2025-10-15,16565.0,16590.0,16595.0,16563.5,,-0.06
2025-10-16,16570.0,16570.0,16587.5,16560.0,,0.03
2025-10-17,16580.0,16580.0,16595.0,16577.5,,0.06
2025-10-20,16575.0,16575.0,16595.0,16554.0,,-0.03
2025-10-21,16590.0,16570.0,16597.5,16565.0,,0.09
2025-10-22,16575.0,16605.0,16627.5,16575.0,,-0.09
2025-10-23,16620.0,16610.0,16652.5,16605.0,,0.27
2025-10-24,16595.0,16624.0,16643.0,16595.0,,-0.15
2025-10-27,16615.0,16600.0,16642.5,16592.5,,0.12
2025-10-28,16605.0,16625.0,16634.0,16605.0,,-0.06
2025-10-29,16615.0,16607.5,16635.5,16605.0,,0.06
2025-10-30,16640.0,16605.0,16650.0,16605.0,,0.15
2025-10-31,16630.0,16622.5,16637.5,16600.0,,-0.06
2025-11-03,16655.0,16635.0,16673.5,16627.5,,0.15
2025-11-04,16697.0,16710.0,16734.0,16694.5,,0.25
2025-11-05,16705.0,16730.0,16745.0,16702.5,,0.05
2025-11-06,16694.0,16700.0,16716.0,16683.5,,-0.07
2025-11-07,16684.5,16717.5,16725.0,16680.0,,-0.06
2025-11-10,16650.0,16670.0,16682.5,16645.0,,-0.21
2025-11-11,16685.0,16705.0,16712.5,16682.5,,0.21
2025-11-12,16697.0,16700.0,16727.5,16684.5,,0.07
2025-11-13,16725.0,16725.0,16738.5,16717.5,,0.17
2025-11-14,16694.0,16705.0,16717.5,16694.0,,-0.19
2025-11-17,16725.0,16712.5,16738.0,16710.0,,0.19
2025-11-18,16740.0,16740.0,16765.0,16732.5,,0.09
2025-11-19,16692.5,16740.0,16757.5,16687.5,,-0.28
2025-11-20,16730.0,16740.0,16755.0,16725.0,,0.22
2025-11-21,16694.0,16740.0,16741.0,16694.0,,-0.22
2025-11-24,16692.5,16710.0,16720.0,16692.5,,-0.01
2025-11-25,16660.0,16670.0,16688.5,16655.0,,-0.19
